,0
Raised By Wolves___U2,0eW6LK9xeddRp1u5BnfrjW
Won't Let Go___Lucas Estrada,0uUY4lhQxKdGOwGcuSpDRg
Black Hole - Acoustic Version___Griff,1cpVLszZnKUHUjsJDTEi3D
5 Days___Pulsedriver,6sBBIrcVUvyDle474hKBVS
identity but it's lofi (the promised neverland)___kurochuu.,0LgpScInSEhaNJ1SvMQBtz
Heavy___Our Last Night,2Gh7po599CSlBe7TclyGoa
Wherever I May Roam___Metallica,22GbAGb80ZZNgm2yrBMnpR
Super Police___A.R. Rahman,1mqt9oz5SwbveiSXxx2yhl
A VS B___Yuki Hayashi,4HWNvBErduUSaE7oOys1mE
Dance With Your Best Friend - LICK DROP Remix___Kiesza,45k2Z6GfzDwU93jC29eebo
Revolver (feat. Lil Wayne) - Madonna vs. David Guetta One Love Remix___Madonna,4fDTuWwA7vHfHFTnI42Wom
Gale Song___The Lumineers,2DSeCIdLFJNNhlcOXGrWIk
Undeniable (feat. X Ambassadors)___Kygo,71qB68guEJjbvtjlkZ8DF5
Heavenly Side___ILLENIUM,1xddmaN7Ivc2SQ940oBskZ
Cecilia And The Satellite___Andrew McMahon in the Wilderness,1MSM3Fo2fvnwVqMcz8Jhjq
No One Compares To You___Jack & Jack,4cZ3UsiKd1kUQIaq4BFIj2
Clown___Emeli Sandé,7Jlo3mmHN7nUHkT0jp138K
Goodnight Goodnight___Maroon 5,6pGZOkEi79wdJ7x2dPBy4w
Uso but is it okay if it's lofi?___Kijugo,3eW7QqA0dcEiVKlXSe6GyV
Strong___London Grammar,6goujENyq3sdx5DiGa2K2F
Cha-Ching (Till We Grow Older)___Imagine Dragons,6AynCuiHTQuVMYN2re6jcS
"Fukashigi no Carte (From ""Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai"") [Full Version]___Fonzi M",0mvOA4wIvN74H4saUKVXLM
Between The Raindrops___Lifehouse,1nxGSNnFCpDLwm3umCOUpi
Who Do You Think You're Talking To?___Dawes,4E0YbnKXs0ctzRK4j7ZU1b
Homesick___Dua Lipa,5E5MqaS6eOsbaJibl3YeMZ
Eye to Eye - Veck Remix___Brett Miller,3VDwmIDCMu13OQAciNkUfb
Sleepwalking___The Chain Gang Of 1974,1zdsOgv1hdGGGe9CK1QPY7
"Mehrama (From ""Love Aaj Kal"")___Pritam",3QOkeMwt2pRmjwgB217fqF
Keep You Mine___NOTD,0OJN2A3Qyvd7pwSF0AIteC
Churches___INVŌKER,4PWnRpj7y40SaUUD2fELAn
Tremoland___Palacín,13z3AL9gEDxGWr1sGk0UZe
All My Love (feat. Conor Maynard) - Sagan Remix___Cash Cash,6WDUvd96KA8LkrmXcvGr7X
Jackie Chan___Tiësto,4kWO6O1BUXcZmaxitpVUwp
The Ol' Switcheroo___The Struts,1gis2GuTV59Dr041gcvzKt
Won't Let You Go___FRENSHIP,70F7cMgI25aFyipi4HsjoJ
Kannepettaro Kannu Kottaro___S. P. Balasubrahmanyam,13bbD0XFPAvL2GDF1j9VjK
Ocean (feat. Khalid) - DubVision Remix___Martin Garrix,5hxIWOdB3YAwuRMcdYUXNB
Hold Of Me___Dean Lewis,6dIZb64N6ICAWrf1RJrKfB
Crawling___Linkin Park,57BrRMwf9LrcmuOsyGilwr
Everybody Dies___Billie Eilish,5jhBwnqzNNrENXnYrAdoCe
Dangerous Night___Thirty Seconds To Mars,7793p4ZXhtbW5RpeRK7rid
"Gala Gala - From ""Swiss Bank Ki Daredi""___Sreekar",4NU8EJNCQotpqVGZlKBwfm
Trouble___Coldplay,0R8P9KfGJCDULmlEoBagcO
"Kaikai Kitan (From ""Jujutsu Kaisen"") [Lofi Version]___Palademix",3mqvRkfGzFvjdP1j46MnU9
Coherent___Infinity Ripple,1uY4VwWRWOVksAcZy9PLqo
Yellow___Coldplay,3AJwUDP919kvQ9QcozQPxg
Alone___Marshmello,3MEYFivt6bilQ9q9mFWZ4g
Don't Wanna Know - BRAVVO Remix___Maroon 5,2vR8qBgG8lYkxiu4KC9dUn
Shot At The Night___The Killers,2aZ2Co4NeQRsqWcU930zHT
No Surprises___Radiohead,10nyNJ6zNy2YVYLrcwLccB
[Stef]___Linkin Park,1iAv8iIqA0xNGAQgJoAukT
Only Love Can Hurt Like This___Paloma Faith,62ke5zFUJN6RvtXZgVH0F8
Restart Your Heart___Florian Picasso,1ZCJuvgtyPZGLNWfHTpWeB
Alien___Galantis,6VBLbFCArFuTTEXFlQFZZs
No Eyes - Radio Edit___Claptone,1a8tAQAzHIPQ00OPBXGWPz
Nenu Nuvvantu___Naresh Iyer,0X0Y2AnYuIdn9arB8P6EB4
The First Steps___Hiroshi Yamazaki,5Ica7TWlqa11k4R4VBR2aR
Back For You___One Direction,02O8hDaIJPEUHh9XEj0u76
Hero___Afrojack,37P2hngwFSqRgKSlyoSeMQ
Todokanu Hito Ni___Lars Sorensen,5Jp0Qgwz7qtbQf31Jipkki
Social Disease___Bon Jovi,6UOVthBy6VkgGrq8Yj90Hw
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)___Lil Wayne",4dASQiO1Eoo3RJvt74FtXB
Blow Us All Away___Ariana DeBose,6lsFGDo1IEEPFKh94c9kFe
Lost___Blake Rose,0EqrXD3S4qEtO4lZGL7epD
Cry (with John Martin)___Gryffin,1TF8rXy87zrnpBlS9TLykA
epiphany___Taylor Swift,08fa9LFcFBTcilB3iq2e2A
Akaza vs Rengoku Theme___Samuel Kim,0cm5HNoYEygzyVZetb9yho
Burn Up The Floor___GRiZ,5nz3dwffS8W2WDWRa9SgfR
Mad World - Acoustic Version___Hardwell,7BRYEE8wi0gye3T5V7zro9
Contemplation___Night Sounds,6dAScKFmnc7epcmlV7uXRv
Keep On___Sasha Alex Sloan,4gbB4ORVF9jqFWgPF8277Z
The Forgotten___Green Day,1Of1g1PMt1wKW1L4Te6oDM
Mountain Sound___Of Monsters and Men,3SPVZJzf1Hs30rB6yXVf2y
Farm___Skullcrusher,6hIjKajzEbTduvp06t0GOb
Heaven___FINNEAS,6ffYo8tC59HxyHl38hVJ1j
New Rules___Dua Lipa,7N41iQt1dpeyYdvKX8dViZ
Don't Hide___Mike Perry,3r8P1CQPjTfwLLmvV5SAun
Pirates of the Caribbean (Main Theme)___The Intermezzo Orchestra,7FCdQ7d58Hal33Ce4t5RYd
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Acoustic___Rudimental",0qynC1yRTNWI7JEsKV9dwg
No More Sorrow___Linkin Park,69vMDipMastHvYna7plBdS
Numb / Encore___JAY-Z,5sNESr6pQfIhL3krM8CtZn
Back In Time___Marshmello,3ZttLr7HcHeRRMPyIx8UMF
Atlas___Benny Bernstein,0PQK5efczMVIIjScPRZYH5
There in the Silence___The Beautiful Star,2egPExekvgp8AU7cYJw2it
コンセプトの戦い___Yuki Hayashi,4ZRvNs46kXBjKJOl74tKZm
Unbelievers___Vampire Weekend,51DZ0wUocQ8sQfjnibXVcD
"Solar Sailer - From ""TRON: Legacy""/Score___Daft Punk",0Jc2SfIHv63JNsUZpunh54
Run___OneRepublic,2sUyQ9TnAVHbg7MMEMDkXP
Date___RADWIMPS,7A7lxMWZI2Uow7WqWjWGcM
Amnesia___5 Seconds of Summer,0dIOvducp7ujHTqj66cQ3X
TALK ME DOWN___Troye Sivan,1othhMi2WsiF9oLoisJjYW
Relief___Florian Beck,0tCTXGCsD8wgeLtYQ1b5H1
Harvest (Hai to Gensou no Grimgar)___Bobu Sama,5pojZuKa6lcUeRbkudzyZu
Cool Kids___Echosmith,13P5rwmk2EsoFRIz9UCeh9
Daddy Issues___The Neighbourhood,5E30LdtzQTGqRvNd7l6kG5
High Hopes___Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom
Stars Align (with Jolin Tsai)___R3HAB,2RQYvKXf2WG4bqN6hPRNq6
Home___Rave New World,6Yc3tjFCVR2bfAQFRTZBef
This Game (No Game No Life)___Otaku,0i4FFEupAyk8bfnTZrH1Vr
Never Let You Go (feat. John Newman) - Acoustic Version___Kygo,0hsEwB7RvpWOJYZnAF4j4E
Give Me The Future___Bastille,4v4zSLaMkF5Ezx6KHHMQam
The Outfield - Roosevelt Remix___The Night Game,26lpncPZsVST0rvRR4UUBv
Bad Liar___Imagine Dragons,2RSHsoi04658QL5xgQVov3
The Man with the Axe___Lorde,2H5Jd3hSCXChjPMrkn3vEH
Nobody (R3HAB Remix)___Dylan Scott,2Z0Ie1NJJLkp14ClmTx5P5
La La La___AREA21,7oDykOViQGiV9M3enF7u4Y
ME! (feat. Brendon Urie of Panic! At The Disco)___Taylor Swift,2Rk4JlNc2TPmZe2af99d45
Follow Me___Hardwell,2sSMfqZ49niglM5UZP0YsI
Champions___James Blunt,2uNKrD9RRVjberEKX02wb6
Letters___Lucas & Steve,21te7Pz3VowOuFho1nfdR0
Creeping Death - Remastered___Metallica,4CLRLdxUDPNeO1xCW0U2zC
Naa Peru Meenakumari___Devi Sri Prasad,5b7QK9cRc6FPNyhCLT83uw
Stay Next To Me (with Chelsea Cutler)___Quinn XCII,7kTlHVCARylJAqm40yVoWE
"30,000 Feet___Ben Rector",0KF5nzdiqZlxVK68MPITst
Hurts Sometimes (with Jonathan Mendelsohn)___Fairlane,2wwSQbfTJUqNqDch31XUpW
Too Close___JP Cooper,4KHSvVJBteqf6XuUDlbltp
2019___Martin Jensen,0YETkmonJ718JRimG5zJOm
Naruto Silhouette LOFI___Sunday Vibes,4WEaFFgUIXVwPXNnhQMs9z
If I Lose Myself___Corey Gray,4XtGxwlxPHzON8wr0Y45bM
Heartless - Swinghouse Session - 2009___The Fray,2ckMlwtwPdQk3pjz128CI6
Karate___R3HAB,6dMHdkQmWuDuDltWjBLJBd
"Alone, Pt. II___Alan Walker",0bMbDctzMmTyK2j74j3nF3
Right Here___Miavono,3OGQ5gp3dkZ38eIjRKLF4V
Yeh Haseen Vadiyan Yeh Khula Aasman___A.R. Rahman,6NmGIj2leVHRKkHEGyechJ
7 Years___Lukas Graham,5kqIPrATaCc2LqxVWzQGbk
21st Century Breakdown___Green Day,0Qx3WZTUUmcyKR5jCDWojv
Indhrudo Chandrudo___S. P. Balasubrahmanyam,7GuD0jcXqQSURcagKqwwPA
Dream #5 [Drifting Apart]___charlie dreaming,2VkeXjrEyJ5dgeInRIdKIE
Beautiful to Me___Olly Murs,45wTMbtGIlwKltBQZQoejb
He Can't Love U___Jagged Edge,3VEZvzr84WVnoorZ4tlBSw
I Was Sad Last Night I'm OK Now___tobi lou,0gEcmyKlIUoi3sHTFVO1bE
Roar___Katy Perry,6F5c58TMEs1byxUstkzVeM
Unstructure 02___Melmann,2ZnPJq6GsiZSCrYy1dW9dK
Paradise___Coldplay,6nek1Nin9q48AVZcWs9e9D
Feelings___Lauv,0s26En1JoJhVj32vizElpA
Run___Sai Sharan,1v1oIWf2Xgh54kIWuKsDf6
Shokilla___Aditya Rao,7KiM3AFZmkWTAd5h9gybzn
LIES GREED MISERY___Linkin Park,3aZQQWGNShP6IzzaprPlFX
The Big Truth___August Wilhelmsson,5O2hhLxwPRj09SjGVVgCWu
Spring Wind (Clannad)___Casper Esmann,6MQiGSt5jFsWSmRYL09zTE
Homecoming (Naruto Shippuden)___Hikigai,7pePDfKs1t277DijsKHgyw
Go Bang___PNAU,5XYXgYQJvY87aCFxK5sOnp
The Story of Tonight___Lin-Manuel Miranda,0NJWhm3hUwIZSy5s0TGJ8q
Feel Something___Joshua Bassett,0JU7KoyKSFgY1zJV2ex6Ee
It's Time___Imagine Dragons,7MXlTgQeo3IVlMpLnZuhxc
Majika___Heliotype,61viWAXyKA61e0Gxv2j6Q6
anything 4 u___LANY,0Aii1ZdrQwkas2lrRFz6ZY
King And Lionheart___Of Monsters and Men,310d8Vawp5kYDYrGrrTAzl
Nabu Island___Yuki Hayashi,1aOYE2DuzV0GXwxSroIlbV
Lay It Down___ILLENIUM,0dxAvCV7LGcGIJQZuqhmgL
Warmest Embrace___Dean Valio,0Sn8lWeOkc5crNhOus3hw9
City Of Dreams - Original Mix___Dirty South,5DKHdWT3u5mOu3dm8A8P1V
Show Me Love___Sam Feldt,7f1q2ID2T4QU018fplGlkC
A Tale By Quincy___The Weeknd,759ndr57jb0URg4j9YSWml
All The Small Things___blink-182,27FRqiV8lQUCEqNT0Qpf6L
Weak___AJR,3BuLtAmXKy5uQYl4ED1zBT
Freedom___Kygo,5Gj1wG8b12VQdEd3hUuSwo
I Love It___V.Raeter,25xX5zajj80p5G0n8sU5ia
The Tortoise and the Hare___Stray Kids,1Zv6xilw5El5P6frlNnYcH
Scream___SAINT PHNX,67WBhAtMj8sGTkZJRJT2yG
Emancipation___Helios,4xxIMjx6sNmRgJx7fJ7ihg
"Here We Go… Again (feat. Tyler, the Creator)___The Weeknd",1NhjYYcYTRywc0di98xHxf
Tightrope 2020___Papa Roach,0RcHcQX2JohiSDIMi8IEKu
Losing It Over You (feat. Ayme)___Matoma,6TfbZ9vy5zqBEDLmqwH9sp
Broken Home___Papa Roach,1s4BLQm5rznGLrNZd0GlwM
Stuck___Imagine Dragons,5Z9SQPYU95S6M1vcbLsDt2
Carry On___fun.,5xZjfKSfTooDP2rcAgjxlH
Dark River - Bonus Track___Sebastian Ingrosso,1EYFgYzq3fJGDdEtVMsATh
Chick Chiklet___Baba Sehgal,07lpPIARsOE1O2Baub2Td0
History Has Its Eyes on You___Christopher Jackson,2pCOzbJhoW6A2PTe4O0apw
Wrapped in Warmth___Multicolored Dreams,6vUO4F4h0Fg01FyiWFa8hb
I Wanna Be Yours___Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n
Superheroes___The Script,37sINbJZcFdHFAsVNsPq1i
The Humma Song___A.R. Rahman,7heMX7gyHP0mhTlNgd7Lxd
On A Prayer (feat. SHY Martin)___Boy In Space,3kc9fFPBuP9DX9YCv0Gi0e
Like It Is___Kygo,3frUvGrmGcay91lvFbOgsN
Sun Goes Down (feat. MAGIC! & Sonny Wilson) - Summer Remix___David Guetta,7c9C0IyqbKFmxlEl9nLqO5
After the Fall___Kodaline,6GgoVr2PPTZ8bIwnEUic6M
By Your Side (feat. Tom Grennan)___Calvin Harris,0vR2rIVORmgeKiGIgNT0fV
151 Rum___JID,22WV03i2lBbwNVCE1g671p
Let Me Live (feat. Anne-Marie & Mr Eazi) - Acoustic___Rudimental,7kStxK6rzxka5SRlg1lzhz
Tell It To My Heart___MEDUZA,5OTucIuP66GxCsi9yEIDvV
Chariot___Jacob Lee,7vyQwt3xnZccpLDtj0X45b
Bad Liar – Stripped___Imagine Dragons,6hFi0gXP8KItwMqfBgf44b
Delicate - Seeb Remix___Taylor Swift,2Sy2oGjP5RYB4cLVoDU0Gz
Different Colors___WALK THE MOON,3RRRDZig4RNJhVGfwwOOFZ
Sunrays___AK,2V2SVDQIt2QgUENzNdVCjI
In The Middle___The Wanted,4Yd04vBE3N5HuaN8K3IQaG
Dream Cave___Freq Molecule,24oboCpHTfhCGaHOF4Kyh2
Dream lantern___RADWIMPS,5mEqD00bdFcsiVd0MfvEeF
Tu Bin Bataye___A.R. Rahman,1jjSjma0cfNUhyOUzQqt6J
Make You Mine___Bleu Clair,5iFwAOB2TFkPJk8sMlxP8g
24 (feat. Lil Baby)___Money Man,0xUvi7wldroBzaZCengPa5
Autumnal___Teen Daze,2KIx2bD6uvUYDZ2XrAKZXN
Tattoos Together___Lauv,1Srt81FTalOhRw7t7l8Yh8
Tragic___Crescent Sun,3kP9bED0adtyqqTmQYmOYn
Houd me vast___Niel Hupkes,6c7RxrwbJkLaWZHj7nX1tm
Luck___American Authors,677u765cOcec5Z6peF4lT2
Tu Chahiye___Pritam,3aaiAWCet6sbfOfLSn3g7i
Shelter___Porter Robinson,2CgOd0Lj5MuvOqzqdaAXtS
Emotion___Astrid S,5ls62WNKHUUrdF3r1cv83T
Attends-moi___Octave Rivière,5Tzz9ed8aqzEHMvBsYcwiN
The Night We Met___Lord Huron,3hRV0jL3vUpRrcy398teAU
Where The Lights Are Low___Toby Romeo,0Cnb8XdGDMHAmIRBUJMkIS
Stay the Night___James Blunt,7FFl1IHSsPWsfUCladsCl9
Not Gonna Die___Skillet,2jfk3m8nq5IvB35s2xIs1O
Ain't That Why (Skytech Remix)___R3HAB,6SbUtpsjGAAdyhR5MCaz2b
Serenity___Eva Slott,0k7v6GFOOKaBrijJBWRDF2
Run - GLD Remix___Kai Wachi,1goKLOUbUXovj7BSliNHgJ
Forever & Always - Piano Version___Taylor Swift,01QdEx6kFr78ZejhQtWR5m
Wait For Me___Steve Brian,6laq4MxNrh2ZKZGLhB7G0V
Lonesome Rider___Volbeat,5OQpefBqvNotEUwx0w2McV
"unravel (Tokyo Ghoul)___give me your rain,",6sgXQiwE34au6Xf7UaParv
All Your Exes___Julia Michaels,2SDswD3RdceDWthkgCrCCU
Rain___The Script,05VTGj2z2SvyFy53crr4u3
InterGalactic___NWYR,5q91FFHEeJzkMBwxqRdGIu
The Room Within___The Aural Healer,3wrWMQWCtBV8162VgCU2o2
Oceans Away___A R I Z O N A,6A8dnC0xkiuWN4BshmTB2I
Losing Me___Gabrielle Aplin,4P6g8wuXeR3wznFk7WnI4w
I'll Find You (feat. Tori Kelly)___Lecrae,6m60IwLIkZ2Fmz4J9FsQ1o
Underdog___You Me At Six,4GMCZUi6cVQJ5wPWwJ36rW
This Is Where You Can Reach Me Now___U2,0hcLI60oIDQks2HlfZuDnY
Red Swan Lofi___Cadred,5dOeOUJemhbvoprbZgpYFl
Come & Go (with Marshmello)___Juice WRLD,2Y0wPrPQBrGhoLn14xRYCG
I Didn't Change My Number___Billie Eilish,7bcy34fBT2ap1L4bfPsl9q
Rathalu Rathalu___R. P. Patnaik,2RFmpSIlw6Pz9pEWRwec6m
i don't wanna know___GOLDHOUSE,41GNtUM0nuTeL9qxMD9ifk
Elixir___Leyenda,3qdcjaWIyUvivaO5lcpe0J
Sorry For Party Rocking___LMFAO,68rRbbwmXydDOqhArVTFTX
Until We Leave the Ground - Steve James Remix___Emmit Fenn,6PEbPKn0niL8xAQdUTBEfq
Where'd You Go (feat. Holly Brook & Jonah Matranga)___Fort Minor,1KVPQ3XQnmhjPbyXs6AcAS
Okinawa___Nora Van Elken,5f8jd7PHl0TNHycFqSAw47
Watch Your Step (Picard Brothers Remix)___Disclosure,0FG75O6h2uy6Xjxe1fK63N
Opening___Linkin Park,3gh2SWZZ2QfEBCCkZntgbk
Gravity___Papa Roach,3SktMqZmo3M9zbB7oKMIF7
Won’t Let You Go___Martin Garrix,5UZA39t4lX42ApegVubl7f
This Is How We Do___Katy Perry,5vL0yvddknhGj7IrBc6UTj
Sirivennela___Anurag Kulkarni,7L2D6W7e8mn0zf8cH78Ch4
Too Sad To Cry___Sasha Alex Sloan,3CRtbOoAP82y0VbPO5j1ft
Following the Sun___SUPER-Hi,5A5bLKdL5I3k3FTEQlAUw7
I Got No One___Broiler,0zeLGK5BGEtzaHLxpgGxoG
Pick Me Up___Sam Feldt,6VYIVgVqEIwzRwpJz5rMa4
Days of Thunder___The Midnight,6tJPdGKrbAeyhkkhn44RHR
Halcyon and On and On___Orbital,5xcunlfaZvD9BDQsLONI7A
A Sky Full of Stars___Coldplay,0FDzzruyVECATHXKHFs9eJ
I Wanna Remember (feat. Carrie Underwood) - R3HAB Remix___NEEDTOBREATHE,2qiHL4Fr48VywjkOO21Yv8
Strong___R3HAB,5cImOblhS97lw6MvbPupUu
Feels Like Forever___Kygo,4B6xQy8i7cVzKT8kPIhBY5
炎___LiSA,0cSkn2l67csUljEy0EEBPn
When the Morning Comes___A Great Big World,0iTN0wdqMwLRVjhk4wDUJa
Pressure (feat. Tove Lo)___Martin Garrix,4ga4WvRNhMsIL38pkBbnIN
Turn___The Wombats,1vKC5WMLgegEG51eaGAf9D
Burn___Phillipa Soo,0aE3V0zgSD2YwkEHW42gxG
Merry Go Round___Smash Into Pieces,39uLYYZytVUwcjgeYLI409
Take on Me - The Wild Honey Pie Buzzsession___Boy In Space,7HWipuknwdVaZfmNZdQlZx
Love To Go___Lost Frequencies,14d79QOV2pvJHH9vlUfZwJ
"Black Catcher (From ""Black Clover"") [Opening 10] - Full Version Piano Arrangement___Fonzi M",1Htf1HwnnIRsbt5ysPPzHc
endure pain___samashi,5jA3XlSxDfv4IZFltS6Mgj
Miss You - Major Lazer & Alvaro Remix___Cashmere Cat,03FUQjwgCIfnprBZqVFvgh
Let Him Go___JUNG,53JYK65bbkGTKB9QBi1eWL
Call Me When It's Over___James Smith,3pg8SqwcnJgHPcnWBY9tVB
Senseless White Noise G___Thyyphoon,7FLsv5PV2Xvf25vBUMc9DN
Love Me Now (feat. Zoe Wees)___Kygo,1c1sdxrYLIiuJOlE7PPttb
Good Things___Dan + Shay,1p5TOHAV8CbqKSnrXHtctv
Intense___Armin van Buuren,5RScucFoUuNzhLWwGWy05b
Without You (feat. Sandro Cavazza)___Avicii,6Pgkp4qUoTmJIPn7ReaGxL
Got A Check (feat. ALLBLACK & Offset Jim)___G-Eazy,6GEH35NKoeqMnDmT37YmHg
Leaving California___Maroon 5,6CjspLw4dCBJm0g4AT36Ga
Viva Voce___The Rocketboys,4kkR7224pnWPbtVsRW2o26
Love on the Weekend___John Mayer,0oiCeOPwm4zhwfyIpAE37y
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)___Pitbull",4QNpBfC0zvjKqPJcyqBy9W
Beating Hearts___Paige,5iJHDCtqv2nO4v8i8nwbdh
Solis Occasum___Tommy Loude,7jWUSD8WyNSbjoYHHo2XbJ
To the Sky (Moderate)___Dirk Maassen,0icJXGequFzOB37jNOLaeU
Flying Circles - Original Mix___Rony Seikaly,6Y2T0AmowuhVjMkopssmQY
cardigan___Taylor Swift,4R2kfaDFhslZEMJqAFNpdd
Vague___Amaranth Cove,3IOXceWmoCrTyl5TXFDzWu
Rue___girl in red,10O26GJPorQC7fLLvzP7Mq
Bleeding Out___Imagine Dragons,1oQjPp1I7cwVE24JivbhzT
One More Time (feat. Alida)___Robin Schulz,2REu6wX4KKrG6uGlTKVqu6
"Agent K.K. (From ""Animal Crossing New Horizons"") [Lofi Beat]___We Dream In Anime",1RQeU5J0ILpk6ey7aY64T9
Bring It On Home___American Authors,7LqZSxNiPig0lgX2XFwseJ
Flares___The Script,3mTEYjm3kIm4YzJ5zxJZjs
Everything Black___Unlike Pluto,3UEnF6y5tyHVtMzldS3svp
Bend (Bonus Track)___The Midnight,4uBiaXLct2GHM2Z90zu4yc
Saturday Nights___Khalid,5kfNriitmkNE8mUbZ7gbq8
No Man is an Island - Acoustic___The Script,0ShisqdvyLS59YVgE8xGCC
Fireflies___Owl City,3DamFFqW32WihKkTVlwTYQ
100 Years___HEDEGAARD,134IsUD5yQuNbpVRnHRIbP
Problems___Don Diablo,2dyrLrVopYKGc3H9oOYSmZ
Don't Start Now___Dua Lipa,4ddxElPHVJrP7I526DIcfV
my tears ricochet___Taylor Swift,1MgV7FIyNxIG7WzMRJV5HC
Bollywood Balaraju___Shankar Mahadevan,3TzXh5n731SZ6zGcSd2dtF
Sign___FLOW,0xmWQKzc5m9rLv2ucDWxwD
Woman___Doja Cat,6Uj1ctrBOjOas8xZXGqKk4
Rainy Day___R A Y,1aKUl7iukQPgUqNbe2Sx2B
When the End Comes___Andrew Belle,3Et4LKZLnXygPYfNdeB3D3
Snow Fairy (Fairy Tale)___Otaku,5oXjsCnKEM3Y1I4BaFduWW
Be My Mistake___The 1975,18UsAG7SfOQ5sxJEdjAMH0
The Crystal Ballroom___U2,2bdqQPOyKnl9l5HVOB207o
Cafe at last___RADWIMPS,19JvFc7PGpwKs9cIq0Aes5
Monody (feat. Laura Brehm)___TheFatRat,3VvBPkc24zC7x05mgJTyGO
Bin Tere___Vishal-Shekhar,3bZPdEskcnMdepwCaDSJRl
Stop Crying Your Heart Out___Oasis,5YciOakY5dB5dULkiLdCaf
Without You___Parachute,6R6ux6KaKrhAg2EIB2krdU
broken - Cash Cash Remix___lovelytheband,5W0vgRE9B23TZDj5B7pRUO
Telusaa Telusaa___Jubin Nautiyal,1jz0PUb4rChtZUk4Itn1Co
xanny___Billie Eilish,4QIo4oxwzzafcBWkKjDpXY
Reflections___TWO LANES,3kKhaaIjqGMcOVhl5r36Ap
Mercy - Acoustic Guitar___Shawn Mendes,2lJOKBuPgR9vcD4PLxTakY
Dancing Feet (feat. DNCE)___Kygo,4RAR8g8fZNB106ezUurnE0
Little Talks___Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B
Underwater World___Nacreous Clouds,5LhPkpLXkuR8wr8bFzCGRK
Low Down Dirty___Lynyrd Skynyrd,7Gutanf1Mf2r8ASTlrR5ku
Over & Over___Eliott,2VYtAJuuOr6RyOOggzSTIB
Hey Jude___The Beatles,0aym2LBJBk9DAYuHHutrIl
With Or Without You___U2,6ADSaE87h8Y3lccZlBJdXH
illicit affairs___Taylor Swift,2NmsngXHeC1GQ9wWrzhOMf
火種___Yutaka Yamada,3ukMwOJw0jScV5SvcaS4WG
I'm in Love Without You___FINNEAS,1qMNtybhEGAUFLtwlnxsMK
505 - Live___Arctic Monkeys,4Q2vbGXSU28xWveWKp4wra
Carry You Home (feat. StarGate & Aloe Blacc)___Tiësto,6bolfjXj78EIQRB48C6QTc
Teenage Kicks___Kodaline,2fWku7UsCU5fNH7eZTK1M0
"Never Seen Anything ""Quite Like You""___The Script",018Idkvf82hi44UZmIXiGB
One Man Can Change The World___Big Sean,731Pa6Gt7GAdADATMSEL0N
Lasting Lover___Sigala,0DmAvNCAK08oCi7miSZUIY
Good Morning World but is it okay if it's lofi?___Kijugo,1i66zsaWvcRUjaLC3avDBv
Hikaru Nara - Lofi Remix___dj-Jo,5l6ek7Tebvu4CyWw9rJZcQ
Fairy Tail Main Theme - Slow ver.___Yasuharu Takanashi,1ADsAp80fs3TVEkRnqfJje
I Feel Like Dancing___The Night Game,7HSZJHUReGXHWQca9sxet7
Party In Your Bedroom___Cash Cash,43d1uEHz8Ac33LbqXPIGGJ
Old Yellow Bricks___Arctic Monkeys,5KGbRvZyVyKP2AEJMHErB4
Kyouran Hey Kids but is it okay if it's lofi?___Kijugo,6IguK9VYQQSw7XeomG6QEc
ROADS UNTRAVELED___Linkin Park,1dYw8HTRJnFpeEeMtXj99a
"The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""___Olivia Rodrigo",0nZkXIhuH183AKwF1LAZUy
Help___Papa Roach,0Xs8sqZG3VBP38tjQyDOq6
Inkem Inkem Inkem Kaavaale___Sid Sriram,1S4gynyFIz8IROMfhDIh3V
Rockin' Goa (Instrumental)___Shankar-Ehsaan-Loy,2wKYnr0RvXfBAwsABfbgEO
Fade___Alan Walker,698ItKASDavgwZ3WjaWjtz
Don't You Wanna Play?___Seeb,15hhlasuVIxEZ3O0PxlRkT
If I Die Young (Glee Cast Version)___Glee Cast,1REX2q4Fverp8zH7KuSeZC
Ocean___Anuv Jain,4BL4aEbddW0OGv6fFYYFUt
Am I The Only One (with Astrid S & HRVY)___R3HAB,4iXrQIlznrCBiSl7aJb1Uu
Monster (Naruto)___Divide Music,6dzco3gebPDHGBkxEFMA1K
Wait___Martin Jensen,5e08a8D8T3z4LDXbUIjxKQ
2016___Sam Hunt,5ehN5A3B3lDwmFCYO63Wk6
Hata Diye___Dream Note,3OQ3iWG9bBlSWdok8rmuI2
Tough Love - Tiësto Remix / Radio Edit___Avicii,7bF6tCO3gFb8INrEDcjNT5
Walking with Elephants___Ten Walls,6wPMapHawG4uns1R3vHzUG
Shame - Radio Edit___Earth n Days,4EMbXLWO0PQNYlFcgAUDyE
Isabella's Lullaby but is it okay if it's lofi?___Kijugo,5FTu62s2XK1W0RlRmwVy3b
Rise___Jonas Blue,6wtGHc0ydheCLrr4LubPmB
